data,tipo,item_tipo,materia_prima_codigo,deposito_destino_codigo,quantidade,documento
2025-03-02T14:00:00Z,consumo,materia_prima,MP-0002,,5400,REQ-10
2025-03-02T10:00:00Z,entrada,materia_prima,MP-0003,DEP-MP,7000,NF-F12
2025-03-07T14:00:00Z,consumo,materia_prima,MP-0003,,6300,REQ-11
2025-03-07T10:00:00Z,entrada,materia_prima,MP-0004,DEP-MP,8000,NF-F13
2025-03-12T14:00:00Z,consumo,materia_prima,MP-0004,,7200,REQ-12
2025-03-12T10:00:00Z,entrada,materia_prima,MP-0005,DEP-MP,9000,NF-F14
2025-03-17T14:00:00Z,consumo,materia_prima,MP-0005,,8100,REQ-13
2025-03-17T10:00:00Z,entrada,materia_prima,MP-0001,DEP-MP,5000,NF-F15
2025-03-22T14:00:00Z,consumo,materia_prima,MP-0001,,4500,REQ-14
2025-03-22T10:00:00Z,entrada,materia_prima,MP-0002,DEP-MP,6000,NF-F16
2025-03-27T14:00:00Z,consumo,materia_prima,MP-0002,,5400,REQ-15
2025-03-27T10:00:00Z,entrada,materia_prima,MP-0003,DEP-MP,7000,NF-F17
2025-04-01T14:00:00Z,consumo,materia_prima,MP-0003,,6300,REQ-16
2025-04-01T10:00:00Z,entrada,materia_prima,MP-0004,DEP-MP,8000,NF-F18
2025-04-06T14:00:00Z,consumo,materia_prima,MP-0004,,7200,REQ-17
2025-04-06T10:00:00Z,entrada,materia_prima,MP-0005,DEP-MP,9000,NF-F19
2025-04-11T14:00:00Z,consumo,materia_prima,MP-0005,,8100,REQ-18
2025-04-11T10:00:00Z,entrada,materia_prima,MP-0001,DEP-MP,5000,NF-F20
2025-04-16T14:00:00Z,consumo,materia_prima,MP-0001,,4500,REQ-19
2025-01-03T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0001
2025-01-05T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-20
2025-01-04T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0002
2025-01-06T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-21
2025-01-05T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0003
2025-01-07T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-22
2025-01-06T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0004
2025-01-08T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-23
2025-01-07T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0005
2025-01-09T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-24
2025-01-08T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0006
2025-01-10T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-25
2025-01-09T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0007
2025-01-11T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-26
2025-01-10T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0008
2025-01-12T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-27
2025-01-11T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0009
2025-01-13T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-28
2025-01-12T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0010
2025-01-14T09:00:00Z,saida,produto,,,980,PV-SIMULADO-29
2025-01-13T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0011
2025-01-15T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-30
2025-01-14T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0012
2025-01-16T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-31
2025-01-15T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0013
2025-01-17T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-32
2025-01-16T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0014
2025-01-18T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-33
2025-01-17T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0015
2025-01-19T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-34
2025-01-18T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0016
2025-01-20T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-35
2025-01-19T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0017
2025-01-21T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-36
2025-01-20T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0018
2025-01-22T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-37
2025-01-21T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0019
2025-01-23T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-38
2025-01-22T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0020
2025-01-24T09:00:00Z,saida,produto,,,980,PV-SIMULADO-39
2025-01-23T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0021
2025-01-25T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-40
2025-01-24T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0022
2025-01-26T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-41
2025-01-25T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0023
2025-01-27T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-42
2025-01-26T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0024
2025-01-28T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-43
2025-01-27T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0025
2025-01-29T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-44
2025-01-28T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0026
2025-01-30T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-45
2025-01-29T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0027
2025-01-31T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-46
2025-01-30T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0028
2025-02-01T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-47
2025-01-31T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0029
2025-02-02T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-48
2025-02-01T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0030
2025-02-03T09:00:00Z,saida,produto,,,980,PV-SIMULADO-49
2025-02-02T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0031
2025-02-04T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-50
2025-02-03T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0032
2025-02-05T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-51
2025-02-04T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0033
2025-02-06T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-52
2025-02-05T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0034
2025-02-07T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-53
2025-02-06T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0035
2025-02-08T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-54
2025-02-07T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0036
2025-02-09T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-55
2025-02-08T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0037
2025-02-10T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-56
2025-02-09T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0038
2025-02-11T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-57
2025-02-10T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0039
2025-02-12T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-58
2025-02-11T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0040
2025-02-13T09:00:00Z,saida,produto,,,980,PV-SIMULADO-59
2025-02-12T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0041
2025-02-14T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-60
2025-02-13T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0042
2025-02-15T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-61
2025-02-14T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0043
2025-02-16T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-62
2025-02-15T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0044
2025-02-17T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-63
2025-02-16T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0045
2025-02-18T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-64
2025-02-17T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0046
2025-02-19T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-65
2025-02-18T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0047
2025-02-20T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-66
2025-02-19T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0048
2025-02-21T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-67
2025-02-20T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0049
2025-02-22T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-68
2025-02-21T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0050
2025-02-23T09:00:00Z,saida,produto,,,980,PV-SIMULADO-69
2025-02-22T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0051
2025-02-24T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-70
2025-02-23T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0052
2025-02-25T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-71
2025-02-24T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0053
2025-02-26T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-72
2025-02-25T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0054
2025-02-27T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-73
2025-02-26T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0055
2025-02-28T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-74
2025-02-27T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0056
2025-03-01T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-75
2025-02-28T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0057
2025-03-02T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-76
2025-03-01T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0058
2025-03-03T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-77
2025-03-02T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0059
2025-03-04T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-78
2025-03-03T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0060
2025-03-05T09:00:00Z,saida,produto,,,980,PV-SIMULADO-79
2025-03-04T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0061
2025-03-06T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-80
2025-03-05T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0062
2025-03-07T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-81
2025-03-06T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0063
2025-03-08T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-82
2025-03-07T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0064
2025-03-09T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-83
2025-03-08T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0065
2025-03-10T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-84
2025-03-09T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0066
2025-03-11T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-85
2025-03-10T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0067
2025-03-12T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-86
2025-03-11T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0068
2025-03-13T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-87
2025-03-12T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0069
2025-03-14T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-88
2025-03-13T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0070
2025-03-15T09:00:00Z,saida,produto,,,980,PV-SIMULADO-89
2025-03-14T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0071
2025-03-16T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-90
2025-03-15T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0072
2025-03-17T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-91
2025-03-16T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0073
2025-03-18T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-92
2025-03-17T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0074
2025-03-19T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-93
2025-03-18T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0075
2025-03-20T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-94
2025-03-19T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0076
2025-03-21T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-95
2025-03-20T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0077
2025-03-22T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-96
2025-03-21T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0078
2025-03-23T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-97
2025-03-22T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0079
2025-03-24T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-98
2025-03-23T18:30:00Z,producao,produto,,DEP-PA,980,LPA-0080
2025-03-25T09:00:00Z,saida,produto,,,980,PV-SIMULADO-99
2025-03-24T18:30:00Z,producao,produto,,DEP-PA,1470,LPA-0081
2025-03-26T09:00:00Z,saida,produto,,,1470,PV-SIMULADO-100
2025-03-25T18:30:00Z,producao,produto,,DEP-PA,1960,LPA-0082
2025-03-27T09:00:00Z,saida,produto,,,1960,PV-SIMULADO-101
2025-03-26T18:30:00Z,producao,produto,,DEP-PA,2450,LPA-0083
2025-03-28T09:00:00Z,saida,produto,,,2450,PV-SIMULADO-102
2025-03-27T18:30:00Z,producao,produto,,DEP-PA,2940,LPA-0084
2025-03-29T09:00:00Z,saida,produto,,,2940,PV-SIMULADO-103
2025-03-28T18:30:00Z,producao,produto,,DEP-PA,3430,LPA-0085
2025-03-30T09:00:00Z,saida,produto,,,3430,PV-SIMULADO-104
2025-03-29T18:30:00Z,producao,produto,,DEP-PA,3920,LPA-0086
2025-03-31T09:00:00Z,saida,produto,,,3920,PV-SIMULADO-105
2025-03-30T18:30:00Z,producao,produto,,DEP-PA,4410,LPA-0087
2025-04-01T09:00:00Z,saida,produto,,,4410,PV-SIMULADO-106
2025-03-31T18:30:00Z,producao,produto,,DEP-PA,4900,LPA-0088
2025-04-02T09:00:00Z,saida,produto,,,4900,PV-SIMULADO-107
2025-04-01T18:30:00Z,producao,produto,,DEP-PA,5390,LPA-0089
2025-04-03T09:00:00Z,saida,produto,,,5390,PV-SIMULADO-108
