tipo,modelo,serie,numero,chave_acesso,natureza_operacao,cfop,data_emissao,data_movimento,cliente_codigo,valor_produtos,valor_frete,valor_desconto,valor_impostos,valor_total,status_sefaz
saida,55,1,516,35250000000000000000000000000000000000000015,Venda de produção,5101,2025-02-06,2025-02-06,CLI-0002,11600,260,0,1740,11860,autorizada
saida,55,1,517,35250000000000000000000000000000000000000016,Venda de produção,5101,2025-02-08,2025-02-08,CLI-0003,11700,270,0,1755,11970,autorizada
saida,55,1,518,35250000000000000000000000000000000000000017,Venda de produção,5101,2025-02-10,2025-02-10,CLI-0001,11800,280,0,1770,12080,autorizada
saida,55,1,519,35250000000000000000000000000000000000000018,Venda de produção,5101,2025-02-12,2025-02-12,CLI-0002,11900,290,0,1785,12190,autorizada
saida,55,1,520,35250000000000000000000000000000000000000019,Venda de produção,5101,2025-02-14,2025-02-14,CLI-0003,12000,200,600,1800,11600,autorizada
saida,55,1,521,35250000000000000000000000000000000000000020,Venda de produção,5101,2025-02-16,2025-02-16,CLI-0001,12100,210,0,1815,12310,autorizada
saida,55,1,522,35250000000000000000000000000000000000000021,Venda de produção,5101,2025-02-18,2025-02-18,CLI-0002,12200,220,0,1830,12420,autorizada
saida,55,1,523,35250000000000000000000000000000000000000022,Venda de produção,5101,2025-02-20,2025-02-20,CLI-0003,12300,230,0,1845,12530,autorizada
saida,55,1,524,35250000000000000000000000000000000000000023,Venda de produção,5101,2025-02-22,2025-02-22,CLI-0001,12400,240,0,1860,12640,autorizada
saida,55,1,525,35250000000000000000000000000000000000000024,Venda de produção,5101,2025-02-24,2025-02-24,CLI-0002,12500,250,625,1875,12125,autorizada
saida,55,1,526,35250000000000000000000000000000000000000025,Venda de produção,5101,2025-02-26,2025-02-26,CLI-0003,12600,260,0,1890,12860,autorizada
saida,55,1,527,35250000000000000000000000000000000000000026,Venda de produção,5101,2025-02-28,2025-02-28,CLI-0001,12700,270,0,1905,12970,autorizada
saida,55,1,528,35250000000000000000000000000000000000000027,Venda de produção,5101,2025-03-02,2025-03-02,CLI-0002,12800,280,0,1920,13080,autorizada
saida,55,1,529,35250000000000000000000000000000000000000028,Venda de produção,5101,2025-03-04,2025-03-04,CLI-0003,12900,290,0,1935,13190,autorizada
saida,55,1,530,35250000000000000000000000000000000000000029,Venda de produção,5101,2025-03-06,2025-03-06,CLI-0001,13000,200,650,1950,12550,autorizada
saida,55,1,531,35250000000000000000000000000000000000000030,Venda de produção,5101,2025-03-08,2025-03-08,CLI-0002,13100,210,0,1965,13310,autorizada
saida,55,1,532,35250000000000000000000000000000000000000031,Venda de produção,5101,2025-03-10,2025-03-10,CLI-0003,13200,220,0,1980,13420,autorizada
saida,55,1,533,35250000000000000000000000000000000000000032,Venda de produção,5101,2025-03-12,2025-03-12,CLI-0001,13300,230,0,1995,13530,autorizada
saida,55,1,534,35250000000000000000000000000000000000000033,Venda de produção,5101,2025-03-14,2025-03-14,CLI-0002,13400,240,0,2010,13640,autorizada
saida,55,1,535,35250000000000000000000000000000000000000034,Venda de produção,5101,2025-03-16,2025-03-16,CLI-0003,13500,250,675,2025,13075,autorizada
saida,55,1,536,35250000000000000000000000000000000000000035,Venda de produção,5101,2025-03-18,2025-03-18,CLI-0001,13600,260,0,2040,13860,autorizada
saida,55,1,537,35250000000000000000000000000000000000000036,Venda de produção,5101,2025-03-20,2025-03-20,CLI-0002,13700,270,0,2055,13970,autorizada
saida,55,1,538,35250000000000000000000000000000000000000037,Venda de produção,5101,2025-03-22,2025-03-22,CLI-0003,13800,280,0,2070,14080,autorizada
saida,55,1,539,35250000000000000000000000000000000000000038,Venda de produção,5101,2025-03-24,2025-03-24,CLI-0001,13900,290,0,2085,14190,autorizada
saida,55,1,540,35250000000000000000000000000000000000000039,Venda de produção,5101,2025-03-26,2025-03-26,CLI-0002,14000,200,700,2100,13500,autorizada
saida,55,1,541,35250000000000000000000000000000000000000040,Venda de produção,5101,2025-03-28,2025-03-28,CLI-0003,14100,210,0,2115,14310,autorizada
saida,55,1,542,35250000000000000000000000000000000000000041,Venda de produção,5101,2025-03-30,2025-03-30,CLI-0001,14200,220,0,2130,14420,autorizada
saida,55,1,543,35250000000000000000000000000000000000000042,Venda de produção,5101,2025-04-01,2025-04-01,CLI-0002,14300,230,0,2145,14530,autorizada
saida,55,1,544,35250000000000000000000000000000000000000043,Venda de produção,5101,2025-04-03,2025-04-03,CLI-0003,14400,240,0,2160,14640,autorizada
saida,55,1,545,35250000000000000000000000000000000000000044,Venda de produção,5101,2025-04-05,2025-04-05,CLI-0001,14500,250,725,2175,14025,autorizada
saida,55,1,546,35250000000000000000000000000000000000000045,Venda de produção,5101,2025-04-07,2025-04-07,CLI-0002,14600,260,0,2190,14860,autorizada
saida,55,1,547,35250000000000000000000000000000000000000046,Venda de produção,5101,2025-04-09,2025-04-09,CLI-0003,14700,270,0,2205,14970,autorizada
saida,55,1,548,35250000000000000000000000000000000000000047,Venda de produção,5101,2025-04-11,2025-04-11,CLI-0001,14800,280,0,2220,15080,autorizada
saida,55,1,549,35250000000000000000000000000000000000000048,Venda de produção,5101,2025-04-13,2025-04-13,CLI-0002,14900,290,0,2235,15190,autorizada
saida,55,1,550,35250000000000000000000000000000000000000049,Venda de produção,5101,2025-04-15,2025-04-15,CLI-0003,10000,200,500,1500,9700,autorizada
