codigo_lote,item_tipo,materia_prima_codigo,quantidade_inicial,origem,fornecedor_codigo,data_producao,data_validade,numero_nf
LPA-0005,produto,,3430,producao,,2025-01-07,2026-01-07,
LPA-0006,produto,,3920,producao,,2025-01-08,2026-01-08,
LPA-0007,produto,,4410,producao,,2025-01-09,2026-01-09,
LPA-0008,produto,,4900,producao,,2025-01-10,2026-01-10,
LPA-0009,produto,,5390,producao,,2025-01-11,2026-01-11,
LPA-0010,produto,,980,producao,,2025-01-12,2026-01-12,
LPA-0011,produto,,1470,producao,,2025-01-13,2026-01-13,
LPA-0012,produto,,1960,producao,,2025-01-14,2026-01-14,
LPA-0013,produto,,2450,producao,,2025-01-15,2026-01-15,
LPA-0014,produto,,2940,producao,,2025-01-16,2026-01-16,
LPA-0015,produto,,3430,producao,,2025-01-17,2026-01-17,
LPA-0016,produto,,3920,producao,,2025-01-18,2026-01-18,
LPA-0017,produto,,4410,producao,,2025-01-19,2026-01-19,
LPA-0018,produto,,4900,producao,,2025-01-20,2026-01-20,
LPA-0019,produto,,5390,producao,,2025-01-21,2026-01-21,
LPA-0020,produto,,980,producao,,2025-01-22,2026-01-22,
LPA-0021,produto,,1470,producao,,2025-01-23,2026-01-23,
LPA-0022,produto,,1960,producao,,2025-01-24,2026-01-24,
LPA-0023,produto,,2450,producao,,2025-01-25,2026-01-25,
LPA-0024,produto,,2940,producao,,2025-01-26,2026-01-26,
LPA-0025,produto,,3430,producao,,2025-01-27,2026-01-27,
LPA-0026,produto,,3920,producao,,2025-01-28,2026-01-28,
LPA-0027,produto,,4410,producao,,2025-01-29,2026-01-29,
LPA-0028,produto,,4900,producao,,2025-01-30,2026-01-30,
LPA-0029,produto,,5390,producao,,2025-01-31,2026-01-31,
LPA-0030,produto,,980,producao,,2025-02-01,2026-02-01,
LPA-0031,produto,,1470,producao,,2025-02-02,2026-02-02,
LPA-0032,produto,,1960,producao,,2025-02-03,2026-02-03,
LPA-0033,produto,,2450,producao,,2025-02-04,2026-02-04,
LPA-0034,produto,,2940,producao,,2025-02-05,2026-02-05,
LPA-0035,produto,,3430,producao,,2025-02-06,2026-02-06,
LPA-0036,produto,,3920,producao,,2025-02-07,2026-02-07,
LPA-0037,produto,,4410,producao,,2025-02-08,2026-02-08,
LPA-0038,produto,,4900,producao,,2025-02-09,2026-02-09,
LPA-0039,produto,,5390,producao,,2025-02-10,2026-02-10,
LPA-0040,produto,,980,producao,,2025-02-11,2026-02-11,
LPA-0041,produto,,1470,producao,,2025-02-12,2026-02-12,
LPA-0042,produto,,1960,producao,,2025-02-13,2026-02-13,
LPA-0043,produto,,2450,producao,,2025-02-14,2026-02-14,
LPA-0044,produto,,2940,producao,,2025-02-15,2026-02-15,
LPA-0045,produto,,3430,producao,,2025-02-16,2026-02-16,
LPA-0046,produto,,3920,producao,,2025-02-17,2026-02-17,
LPA-0047,produto,,4410,producao,,2025-02-18,2026-02-18,
LPA-0048,produto,,4900,producao,,2025-02-19,2026-02-19,
LPA-0049,produto,,5390,producao,,2025-02-20,2026-02-20,
LPA-0050,produto,,980,producao,,2025-02-21,2026-02-21,
LPA-0051,produto,,1470,producao,,2025-02-22,2026-02-22,
LPA-0052,produto,,1960,producao,,2025-02-23,2026-02-23,
LPA-0053,produto,,2450,producao,,2025-02-24,2026-02-24,
LPA-0054,produto,,2940,producao,,2025-02-25,2026-02-25,
LPA-0055,produto,,3430,producao,,2025-02-26,2026-02-26,
LPA-0056,produto,,3920,producao,,2025-02-27,2026-02-27,
LPA-0057,produto,,4410,producao,,2025-02-28,2026-02-28,
LPA-0058,produto,,4900,producao,,2025-03-01,2026-03-01,
LPA-0059,produto,,5390,producao,,2025-03-02,2026-03-02,
LPA-0060,produto,,980,producao,,2025-03-03,2026-03-03,
LPA-0061,produto,,1470,producao,,2025-03-04,2026-03-04,
LPA-0062,produto,,1960,producao,,2025-03-05,2026-03-05,
LPA-0063,produto,,2450,producao,,2025-03-06,2026-03-06,
LPA-0064,produto,,2940,producao,,2025-03-07,2026-03-07,
LPA-0065,produto,,3430,producao,,2025-03-08,2026-03-08,
LPA-0066,produto,,3920,producao,,2025-03-09,2026-03-09,
LPA-0067,produto,,4410,producao,,2025-03-10,2026-03-10,
LPA-0068,produto,,4900,producao,,2025-03-11,2026-03-11,
LPA-0069,produto,,5390,producao,,2025-03-12,2026-03-12,
LPA-0070,produto,,980,producao,,2025-03-13,2026-03-13,
LPA-0071,produto,,1470,producao,,2025-03-14,2026-03-14,
LPA-0072,produto,,1960,producao,,2025-03-15,2026-03-15,
LPA-0073,produto,,2450,producao,,2025-03-16,2026-03-16,
LPA-0074,produto,,2940,producao,,2025-03-17,2026-03-17,
LPA-0075,produto,,3430,producao,,2025-03-18,2026-03-18,
LPA-0076,produto,,3920,producao,,2025-03-19,2026-03-19,
LPA-0077,produto,,4410,producao,,2025-03-20,2026-03-20,
LPA-0078,produto,,4900,producao,,2025-03-21,2026-03-21,
LPA-0079,produto,,5390,producao,,2025-03-22,2026-03-22,
LPA-0080,produto,,980,producao,,2025-03-23,2026-03-23,
LPA-0081,produto,,1470,producao,,2025-03-24,2026-03-24,
LPA-0082,produto,,1960,producao,,2025-03-25,2026-03-25,
LPA-0083,produto,,2450,producao,,2025-03-26,2026-03-26,
LPA-0084,produto,,2940,producao,,2025-03-27,2026-03-27,
LPA-0085,produto,,3430,producao,,2025-03-28,2026-03-28,
LPA-0086,produto,,3920,producao,,2025-03-29,2026-03-29,
LPA-0087,produto,,4410,producao,,2025-03-30,2026-03-30,
LPA-0088,produto,,4900,producao,,2025-03-31,2026-03-31,
LPA-0089,produto,,5390,producao,,2025-04-01,2026-04-01,
