numero,produto_codigo,maquina_codigo,cliente_codigo,quantidade_planejada,quantidade_produzida,quantidade_refugo,data_abertura,data_prazo,data_inicio_producao,data_conclusao,status,prioridade
OP-2025-0021,PA-0002,COR-01,CLI-0001,1500,1470,30,2025-01-22,2025-01-26,2025-01-23T07:00:00Z,2025-01-23T18:00:00Z,concluida,normal
OP-2025-0022,PA-0003,COR-01,,2000,1960,40,2025-01-23,2025-01-27,2025-01-24T07:00:00Z,2025-01-24T18:00:00Z,concluida,normal
OP-2025-0023,SA-0001,EXT-01,,2500,2450,50,2025-01-24,2025-01-28,2025-01-25T07:00:00Z,2025-01-25T18:00:00Z,concluida,normal
OP-2025-0024,SA-0002,EXT-01,CLI-0001,3000,2940,60,2025-01-25,2025-01-29,2025-01-26T07:00:00Z,2025-01-26T18:00:00Z,concluida,normal
OP-2025-0025,PA-0001,COR-01,,3500,3430,70,2025-01-26,2025-01-30,2025-01-27T07:00:00Z,2025-01-27T18:00:00Z,concluida,normal
OP-2025-0026,PA-0002,COR-01,,4000,3920,80,2025-01-27,2025-01-31,2025-01-28T07:00:00Z,2025-01-28T18:00:00Z,concluida,normal
OP-2025-0027,PA-0003,COR-01,CLI-0001,4500,4410,90,2025-01-28,2025-02-01,2025-01-29T07:00:00Z,2025-01-29T18:00:00Z,concluida,normal
OP-2025-0028,SA-0001,EXT-01,,5000,4900,100,2025-01-29,2025-02-02,2025-01-30T07:00:00Z,2025-01-30T18:00:00Z,concluida,normal
OP-2025-0029,SA-0002,EXT-01,,5500,5390,110,2025-01-30,2025-02-03,2025-01-31T07:00:00Z,2025-01-31T18:00:00Z,concluida,normal
OP-2025-0030,PA-0001,COR-01,CLI-0001,1000,980,20,2025-01-31,2025-02-04,2025-02-01T07:00:00Z,2025-02-01T18:00:00Z,concluida,alta
OP-2025-0031,PA-0002,COR-01,,1500,1470,30,2025-02-01,2025-02-05,2025-02-02T07:00:00Z,2025-02-02T18:00:00Z,concluida,normal
OP-2025-0032,PA-0003,COR-01,,2000,1960,40,2025-02-02,2025-02-06,2025-02-03T07:00:00Z,2025-02-03T18:00:00Z,concluida,normal
OP-2025-0033,SA-0001,EXT-01,CLI-0001,2500,2450,50,2025-02-03,2025-02-07,2025-02-04T07:00:00Z,2025-02-04T18:00:00Z,concluida,normal
OP-2025-0034,SA-0002,EXT-01,,3000,2940,60,2025-02-04,2025-02-08,2025-02-05T07:00:00Z,2025-02-05T18:00:00Z,concluida,normal
OP-2025-0035,PA-0001,COR-01,,3500,3430,70,2025-02-05,2025-02-09,2025-02-06T07:00:00Z,2025-02-06T18:00:00Z,concluida,normal
OP-2025-0036,PA-0002,COR-01,CLI-0001,4000,3920,80,2025-02-06,2025-02-10,2025-02-07T07:00:00Z,2025-02-07T18:00:00Z,concluida,normal
OP-2025-0037,PA-0003,COR-01,,4500,4410,90,2025-02-07,2025-02-11,2025-02-08T07:00:00Z,2025-02-08T18:00:00Z,concluida,normal
OP-2025-0038,SA-0001,EXT-01,,5000,4900,100,2025-02-08,2025-02-12,2025-02-09T07:00:00Z,2025-02-09T18:00:00Z,concluida,normal
OP-2025-0039,SA-0002,EXT-01,CLI-0001,5500,5390,110,2025-02-09,2025-02-13,2025-02-10T07:00:00Z,2025-02-10T18:00:00Z,concluida,normal
OP-2025-0040,PA-0001,COR-01,,1000,980,20,2025-02-10,2025-02-14,2025-02-11T07:00:00Z,2025-02-11T18:00:00Z,concluida,alta
OP-2025-0041,PA-0002,COR-01,,1500,1470,30,2025-02-11,2025-02-15,2025-02-12T07:00:00Z,2025-02-12T18:00:00Z,concluida,normal
OP-2025-0042,PA-0003,COR-01,CLI-0001,2000,1960,40,2025-02-12,2025-02-16,2025-02-13T07:00:00Z,2025-02-13T18:00:00Z,concluida,normal
OP-2025-0043,SA-0001,EXT-01,,2500,2450,50,2025-02-13,2025-02-17,2025-02-14T07:00:00Z,2025-02-14T18:00:00Z,concluida,normal
OP-2025-0044,SA-0002,EXT-01,,3000,2940,60,2025-02-14,2025-02-18,2025-02-15T07:00:00Z,2025-02-15T18:00:00Z,concluida,normal
OP-2025-0045,PA-0001,COR-01,CLI-0001,3500,3430,70,2025-02-15,2025-02-19,2025-02-16T07:00:00Z,2025-02-16T18:00:00Z,concluida,normal
OP-2025-0046,PA-0002,COR-01,,4000,3920,80,2025-02-16,2025-02-20,2025-02-17T07:00:00Z,2025-02-17T18:00:00Z,concluida,normal
OP-2025-0047,PA-0003,COR-01,,4500,4410,90,2025-02-17,2025-02-21,2025-02-18T07:00:00Z,2025-02-18T18:00:00Z,concluida,normal
OP-2025-0048,SA-0001,EXT-01,CLI-0001,5000,4900,100,2025-02-18,2025-02-22,2025-02-19T07:00:00Z,2025-02-19T18:00:00Z,concluida,normal
OP-2025-0049,SA-0002,EXT-01,,5500,5390,110,2025-02-19,2025-02-23,2025-02-20T07:00:00Z,2025-02-20T18:00:00Z,concluida,normal
OP-2025-0050,PA-0001,COR-01,,1000,980,20,2025-02-20,2025-02-24,2025-02-21T07:00:00Z,2025-02-21T18:00:00Z,concluida,alta
OP-2025-0051,PA-0002,COR-01,CLI-0001,1500,1470,30,2025-02-21,2025-02-25,2025-02-22T07:00:00Z,2025-02-22T18:00:00Z,concluida,normal
OP-2025-0052,PA-0003,COR-01,,2000,1960,40,2025-02-22,2025-02-26,2025-02-23T07:00:00Z,2025-02-23T18:00:00Z,concluida,normal
OP-2025-0053,SA-0001,EXT-01,,2500,2450,50,2025-02-23,2025-02-27,2025-02-24T07:00:00Z,2025-02-24T18:00:00Z,concluida,normal
OP-2025-0054,SA-0002,EXT-01,CLI-0001,3000,2940,60,2025-02-24,2025-02-28,2025-02-25T07:00:00Z,2025-02-25T18:00:00Z,concluida,normal
OP-2025-0055,PA-0001,COR-01,,3500,3430,70,2025-02-25,2025-03-01,2025-02-26T07:00:00Z,2025-02-26T18:00:00Z,concluida,normal
OP-2025-0056,PA-0002,COR-01,,4000,3920,80,2025-02-26,2025-03-02,2025-02-27T07:00:00Z,2025-02-27T18:00:00Z,concluida,normal
OP-2025-0057,PA-0003,COR-01,CLI-0001,4500,4410,90,2025-02-27,2025-03-03,2025-02-28T07:00:00Z,2025-02-28T18:00:00Z,concluida,normal
OP-2025-0058,SA-0001,EXT-01,,5000,4900,100,2025-02-28,2025-03-04,2025-03-01T07:00:00Z,2025-03-01T18:00:00Z,concluida,normal
OP-2025-0059,SA-0002,EXT-01,,5500,5390,110,2025-03-01,2025-03-05,2025-03-02T07:00:00Z,2025-03-02T18:00:00Z,concluida,normal
OP-2025-0060,PA-0001,COR-01,CLI-0001,1000,980,20,2025-03-02,2025-03-06,2025-03-03T07:00:00Z,2025-03-03T18:00:00Z,concluida,alta
OP-2025-0061,PA-0002,COR-01,,1500,1470,30,2025-03-03,2025-03-07,2025-03-04T07:00:00Z,2025-03-04T18:00:00Z,concluida,normal
OP-2025-0062,PA-0003,COR-01,,2000,1960,40,2025-03-04,2025-03-08,2025-03-05T07:00:00Z,2025-03-05T18:00:00Z,concluida,normal
OP-2025-0063,SA-0001,EXT-01,CLI-0001,2500,2450,50,2025-03-05,2025-03-09,2025-03-06T07:00:00Z,2025-03-06T18:00:00Z,concluida,normal
OP-2025-0064,SA-0002,EXT-01,,3000,2940,60,2025-03-06,2025-03-10,2025-03-07T07:00:00Z,2025-03-07T18:00:00Z,concluida,normal
OP-2025-0065,PA-0001,COR-01,,3500,3430,70,2025-03-07,2025-03-11,2025-03-08T07:00:00Z,2025-03-08T18:00:00Z,concluida,normal
OP-2025-0066,PA-0002,COR-01,CLI-0001,4000,3920,80,2025-03-08,2025-03-12,2025-03-09T07:00:00Z,2025-03-09T18:00:00Z,concluida,normal
OP-2025-0067,PA-0003,COR-01,,4500,4410,90,2025-03-09,2025-03-13,2025-03-10T07:00:00Z,2025-03-10T18:00:00Z,concluida,normal
OP-2025-0068,SA-0001,EXT-01,,5000,4900,100,2025-03-10,2025-03-14,2025-03-11T07:00:00Z,2025-03-11T18:00:00Z,concluida,normal
OP-2025-0069,SA-0002,EXT-01,CLI-0001,5500,5390,110,2025-03-11,2025-03-15,2025-03-12T07:00:00Z,2025-03-12T18:00:00Z,concluida,normal
OP-2025-0070,PA-0001,COR-01,,1000,980,20,2025-03-12,2025-03-16,2025-03-13T07:00:00Z,2025-03-13T18:00:00Z,concluida,alta
OP-2025-0071,PA-0002,COR-01,,1500,1470,30,2025-03-13,2025-03-17,2025-03-14T07:00:00Z,2025-03-14T18:00:00Z,concluida,normal
OP-2025-0072,PA-0003,COR-01,CLI-0001,2000,1960,40,2025-03-14,2025-03-18,2025-03-15T07:00:00Z,2025-03-15T18:00:00Z,concluida,normal
OP-2025-0073,SA-0001,EXT-01,,2500,2450,50,2025-03-15,2025-03-19,2025-03-16T07:00:00Z,2025-03-16T18:00:00Z,concluida,normal
OP-2025-0074,SA-0002,EXT-01,,3000,2940,60,2025-03-16,2025-03-20,2025-03-17T07:00:00Z,2025-03-17T18:00:00Z,concluida,normal
OP-2025-0075,PA-0001,COR-01,CLI-0001,3500,3430,70,2025-03-17,2025-03-21,2025-03-18T07:00:00Z,2025-03-18T18:00:00Z,concluida,normal
OP-2025-0076,PA-0002,COR-01,,4000,3920,80,2025-03-18,2025-03-22,2025-03-19T07:00:00Z,2025-03-19T18:00:00Z,concluida,normal
OP-2025-0077,PA-0003,COR-01,,4500,4410,90,2025-03-19,2025-03-23,2025-03-20T07:00:00Z,2025-03-20T18:00:00Z,concluida,normal
OP-2025-0078,SA-0001,EXT-01,CLI-0001,5000,4900,100,2025-03-20,2025-03-24,2025-03-21T07:00:00Z,2025-03-21T18:00:00Z,concluida,normal
OP-2025-0079,SA-0002,EXT-01,,5500,5390,110,2025-03-21,2025-03-25,2025-03-22T07:00:00Z,2025-03-22T18:00:00Z,concluida,normal
OP-2025-0080,PA-0001,COR-01,,1000,980,20,2025-03-22,2025-03-26,2025-03-23T07:00:00Z,2025-03-23T18:00:00Z,concluida,alta
OP-2025-0081,PA-0002,COR-01,CLI-0001,1500,1470,30,2025-03-23,2025-03-27,2025-03-24T07:00:00Z,2025-03-24T18:00:00Z,concluida,normal
OP-2025-0082,PA-0003,COR-01,,2000,1960,40,2025-03-24,2025-03-28,2025-03-25T07:00:00Z,2025-03-25T18:00:00Z,concluida,normal
OP-2025-0083,SA-0001,EXT-01,,2500,2450,50,2025-03-25,2025-03-29,2025-03-26T07:00:00Z,2025-03-26T18:00:00Z,concluida,normal
OP-2025-0084,SA-0002,EXT-01,CLI-0001,3000,2940,60,2025-03-26,2025-03-30,2025-03-27T07:00:00Z,2025-03-27T18:00:00Z,concluida,normal
OP-2025-0085,PA-0001,COR-01,,3500,3430,70,2025-03-27,2025-03-31,2025-03-28T07:00:00Z,2025-03-28T18:00:00Z,concluida,normal
OP-2025-0086,PA-0002,COR-01,,4000,3920,80,2025-03-28,2025-04-01,2025-03-29T07:00:00Z,2025-03-29T18:00:00Z,concluida,normal
OP-2025-0087,PA-0003,COR-01,CLI-0001,4500,4410,90,2025-03-29,2025-04-02,2025-03-30T07:00:00Z,2025-03-30T18:00:00Z,concluida,normal
OP-2025-0088,SA-0001,EXT-01,,5000,4900,100,2025-03-30,2025-04-03,2025-03-31T07:00:00Z,2025-03-31T18:00:00Z,concluida,normal
OP-2025-0089,SA-0002,EXT-01,,5500,5390,110,2025-03-31,2025-04-04,2025-04-01T07:00:00Z,2025-04-01T18:00:00Z,concluida,normal
OP-2025-0090,PA-0001,COR-01,CLI-0001,1000,,,2025-04-01,2025-04-05,,,em_producao,alta
OP-2025-0091,PA-0002,COR-01,,1500,,,2025-04-02,2025-04-06,,,em_producao,normal
OP-2025-0092,PA-0003,COR-01,,2000,,,2025-04-03,2025-04-07,,,em_producao,normal
OP-2025-0093,SA-0001,EXT-01,CLI-0001,2500,,,2025-04-04,2025-04-08,,,em_producao,normal
OP-2025-0094,SA-0002,EXT-01,,3000,,,2025-04-05,2025-04-09,,,em_producao,normal
OP-2025-0095,PA-0001,COR-01,,3500,,,2025-04-06,2025-04-10,,,em_producao,normal
OP-2025-0096,PA-0002,COR-01,CLI-0001,4000,,,2025-04-07,2025-04-11,,,em_producao,normal
OP-2025-0097,PA-0003,COR-01,,4500,,,2025-04-08,2025-04-12,,,em_producao,normal
OP-2025-0098,SA-0001,EXT-01,,5000,,,2025-04-09,2025-04-13,,,em_producao,normal
OP-2025-0099,SA-0002,EXT-01,CLI-0001,5500,,,2025-04-10,2025-04-14,,,em_producao,normal
OP-2025-0100,PA-0001,COR-01,,1000,,,2025-04-11,2025-04-15,,,em_producao,alta
